epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.164,0.15184,2.0116,0.94645,0.42279,0.64469,0.32969,0.3283,0.23251,1.41864,0.28773,0.00333148,0.00333148,0.00333148
2,337.893,0.13945,1.43796,0.91401,0.42967,0.57266,0.40233,0.39509,0.2339,1.1855,0.28536,0.00659883,0.00659883,0.00659883
3,497.059,0.14945,1.34021,0.91489,0.37609,0.70461,0.33812,0.33169,0.27756,1.40008,0.29095,0.00980018,0.00980018,0.00980018
4,654.662,0.12544,1.30121,0.90661,0.4775,0.52147,0.40945,0.38949,0.33907,1.26751,0.28315,0.009703,0.009703,0.009703
5,811.164,0.0965,1.25258,0.89854,0.50212,0.58567,0.4623,0.4619,0.19392,1.09248,0.2596,0.009604,0.009604,0.009604
6,967.67,0.08468,1.2238,0.89639,0.5107,0.55493,0.47353,0.46837,0.20524,1.07945,0.24477,0.009505,0.009505,0.009505
7,1124.43,0.07491,1.20331,0.89395,0.52052,0.55448,0.47738,0.47111,0.22798,1.10486,0.28713,0.009406,0.009406,0.009406
8,1280.48,0.06772,1.19201,0.89255,0.51462,0.5959,0.50085,0.49652,0.22664,1.06269,0.29073,0.009307,0.009307,0.009307
9,1436.99,0.06411,1.17739,0.89085,0.3828,0.66786,0.51651,0.51384,0.19332,1.02843,0.25314,0.009208,0.009208,0.009208
10,1593.66,0.05931,1.16499,0.8906,0.54002,0.5852,0.51801,0.51321,0.20552,1.0296,0.26769,0.009109,0.009109,0.009109
11,1749.82,0.05689,1.15116,0.88975,0.52756,0.5519,0.48825,0.48475,0.20248,1.08143,0.26521,0.00901,0.00901,0.00901
12,1906.32,0.05455,1.14396,0.8891,0.52239,0.59859,0.51721,0.50726,0.21789,1.05536,0.26582,0.008911,0.008911,0.008911
13,2062.78,0.05266,1.13361,0.888,0.59069,0.59625,0.56284,0.55937,0.21613,0.97748,0.2711,0.008812,0.008812,0.008812
14,2218.98,0.05165,1.12736,0.88891,0.60037,0.59831,0.57134,0.56335,0.2106,0.96144,0.25759,0.008713,0.008713,0.008713
15,2375.47,0.04999,1.11912,0.88804,0.60837,0.60852,0.58722,0.58674,0.19252,0.9227,0.25151,0.008614,0.008614,0.008614
16,2531.55,inf,1.11457,0.88666,0.6178,0.60073,0.59674,0.59654,0.19661,0.91738,0.24376,0.008515,0.008515,0.008515
17,2687.97,0.04667,1.11089,0.88772,0.61291,0.61621,0.59093,0.59033,0.19702,0.92609,0.24131,0.008416,0.008416,0.008416
18,2844.19,inf,1.10064,0.88842,0.61385,0.61579,0.60488,0.60486,0.18348,0.90615,0.23039,0.008317,0.008317,0.008317
19,3000.37,inf,1.10412,0.88745,0.6274,0.60621,0.60757,0.60756,0.18042,0.89561,0.23087,0.008218,0.008218,0.008218
20,3156.8,0.04358,1.09403,0.88745,0.62573,0.61719,0.60541,0.6038,0.18498,0.9047,0.23593,0.008119,0.008119,0.008119
21,3312.83,inf,1.09005,0.887,0.49363,0.68419,0.61407,0.61399,0.22988,0.85677,0.31185,0.00802,0.00802,0.00802
22,3468.97,0.04559,1.08533,0.88745,0.53437,0.68485,0.62446,0.62446,0.1995,0.83778,0.26751,0.007921,0.007921,0.007921
23,3624.55,0.04444,1.08204,0.88736,0.52531,0.68555,0.62937,0.62937,0.15744,0.82681,0.20366,0.007822,0.007822,0.007822
24,3781.01,0.04122,1.07559,0.88669,0.54086,0.67395,0.63747,0.63747,0.11055,0.81185,0.13748,0.007723,0.007723,0.007723
25,3936.94,0.04104,1.07501,0.8863,0.55467,0.67341,0.63888,0.63886,0.15777,0.81625,0.18941,0.007624,0.007624,0.007624
26,4093.06,0.03993,1.06708,0.88656,0.5412,0.68811,0.6407,0.6407,0.14447,0.81299,0.17194,0.007525,0.007525,0.007525
27,4249.11,0.03957,1.06508,0.88761,0.53688,0.70384,0.64534,0.64534,0.1465,0.81356,0.17768,0.007426,0.007426,0.007426
28,4405.2,0.03916,1.06472,0.88696,0.55422,0.69467,0.6507,0.6507,0.12949,0.80484,0.15818,0.007327,0.007327,0.007327
29,4562.32,0.03815,1.05676,0.88617,0.55737,0.69305,0.65236,0.65236,0.13022,0.80125,0.15858,0.007228,0.007228,0.007228
30,4718.74,0.03708,1.05447,0.88602,0.56385,0.69624,0.65476,0.65475,0.1283,0.79755,0.15408,0.007129,0.007129,0.007129
31,4875.42,inf,1.04717,0.88575,0.56677,0.68832,0.65667,0.65666,0.12523,0.79436,0.15067,0.00703,0.00703,0.00703
